,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,102.0,365.1376523738727,338.3524888912216,225.29157333076,-34.150896445382386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.432946,0.0
1,102.0,613.0500105866231,694.3479558234103,-251.0819234251976,-42.292658648919314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.432946,0.0
2,103.0,991.3334113047458,946.1068011405878,-52.76250857487321,-31.491827576886863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.463632,0.0
3,103.0,1329.2707713008858,1322.105122985784,232.73397424258292,-19.97667561331764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.463632,0.0
4,104.0,1452.4612058913335,1601.9674465199932,209.55033441726118,317.3342511402443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.463935,0.0
5,104.0,1626.742413776461,1704.0461458605714,-189.8635010505095,-47.39575213845819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.463935,0.0
6,105.0,1964.8443293706514,1930.3774113790132,-40.495636720210314,-16.02921121008694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.46504,0.0
7,105.0,2307.8118548071943,2321.481189145241,216.03532094042748,30.783116535283625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.46504,0.0
8,106.0,2488.039503621869,2662.6816118527204,280.9655940211378,453.5993759757839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.478095,0.0
9,106.0,2595.668214496691,2696.2416041051038,-196.671988919843,16.038560959976166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.478095,0.0
10,107.0,2936.302042360883,2883.1580639905296,-101.82064624363557,-41.72606380563229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.47826,0.0
11,107.0,3278.9516763011925,3274.639571652282,245.4664636417292,-48.00722578121349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.47826,0.0
12,108.0,3528.034623200074,3691.0119834691286,329.87787559162825,-485.7026771954261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.49216,0.0
13,108.0,3584.0377550865524,3645.5422798078507,784.8684943509288,-7.300284713506699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.49216,0.0
14,109.0,3908.758308639284,3827.989559246227,869.7230844455771,-64.24213148886338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657271671.507511,0.0
